TIME,CH1,CH2
-1.03E-03,0,-0.01
-1.03E-03,0,0
-1.03E-03,0,-0.01
-1.03E-03,0,-0.01
-1.03E-03,-0.01,-0.01
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.02,-0.03
-1.03E-03,-0.03,-0.04
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.01,-0.02
-1.03E-03,-0.01,0
-1.02E-03,-0.02,-0.01
-1.02E-03,-0.04,-0.01
-1.02E-03,-0.02,-0.05
-1.02E-03,-0.03,-0.01
-1.02E-03,-0.02,-0.04
-1.02E-03,-0.03,-0.01
-1.02E-03,-0.02,-0.03
-1.02E-03,-0.02,-0.02
-1.02E-03,-0.02,-0.02
-1.02E-03,0,-0.03
-1.02E-03,-0.01,-0.03
-1.02E-03,-0.01,0
-1.02E-03,-0.01,-0.02
-1.02E-03,-0.01,-0.01
-1.02E-03,-0.01,-0.01
-1.02E-03,-0.01,-0.03
-1.02E-03,-0.02,-0.02
-1.02E-03,-0.03,0.01
-1.02E-03,-0.02,-0.02
-1.02E-03,-0.02,-0.02
-1.02E-03,-0.01,-0.02
-1.02E-03,0,-0.01
-1.02E-03,-0.02,-0.03
-1.02E-03,-0.01,0.01
-1.02E-03,-0.01,-0.03
-1.01E-03,-0.02,-0.03
-1.01E-03,-0.01,-0.01
-1.01E-03,-0.01,-0.04
-1.01E-03,-0.02,-0.03
-1.01E-03,0,-0.04
-1.01E-03,-0.01,-0.03
-1.01E-03,-0.01,-0.02
-1.01E-03,-0.01,-0.04
-1.01E-03,0,-0.02
-1.01E-03,-0.01,-0.01
-1.01E-03,-0.01,-0.02
-1.01E-03,0,-0.02
-1.01E-03,-0.02,-0.01
-1.01E-03,-0.02,-0.03
-1.01E-03,-0.02,-0.01
-1.01E-03,-0.01,-0.02
-1.01E-03,-0.01,-0.03
-1.01E-03,-0.03,-0.03
-1.01E-03,-0.03,-0.03
-1.01E-03,0,-0.01
-1.01E-03,0,-0.01
-1.01E-03,-0.03,-0.01
-1.01E-03,0,0.01
-1.01E-03,-0.02,-0.03
-1.01E-03,-0.04,-0.02
-1.00E-03,-0.01,-0.01
-1.00E-03,-0.02,-0.02
-1.00E-03,-0.01,0
-1.00E-03,-0.01,-0.01
-1.00E-03,0,-0.03
-1.00E-03,-0.02,-0.02
-1.00E-03,-0.01,-0.01
-1.00E-03,0,-0.01
-1.00E-03,-0.02,-0.01
-1.00E-03,-0.03,-0.03
-1.00E-03,-0.04,-0.01
-1.00E-03,-0.03,-0.04
-1.00E-03,-0.02,-0.02
-1.00E-03,-0.02,-0.01
-9.99E-04,-0.01,-0.02
-9.99E-04,-0.02,-0.02
-9.98E-04,-0.02,-0.03
-9.98E-04,-0.02,-0.02
-9.98E-04,0,-0.02
-9.97E-04,-0.01,-0.02
-9.97E-04,-0.03,-0.02
-9.96E-04,-0.02,-0.02
-9.96E-04,-0.04,-0.03
-9.96E-04,-0.01,-0.02
-9.95E-04,-0.04,-0.03
-9.95E-04,-0.02,-0.01
-9.94E-04,0,-0.01
-9.94E-04,-0.01,-0.02
-9.94E-04,0,0.01
-9.93E-04,-0.01,-0.01
-9.93E-04,-0.02,-0.02
-9.92E-04,-0.01,-0.01
-9.92E-04,-0.01,-0.02
-9.92E-04,-0.01,-0.01
-9.91E-04,-0.02,-0.03
-9.91E-04,-0.01,-0.02
-9.90E-04,-0.02,-0.02
-9.90E-04,-0.02,-0.03
-9.90E-04,-0.01,-0.02
-9.89E-04,-0.02,-0.03
-9.89E-04,0,-0.03
-9.88E-04,-0.01,-0.02
-9.88E-04,0,-0.03
-9.88E-04,-0.02,-0.01
-9.87E-04,-0.01,0
-9.87E-04,0,0
-9.86E-04,-0.01,-0.03
-9.86E-04,0,-0.01
-9.86E-04,-0.02,-0.01
-9.85E-04,-0.01,-0.03
-9.85E-04,-0.02,-0.03
-9.84E-04,-0.02,-0.03
-9.84E-04,-0.01,-0.02
-9.84E-04,-0.02,-0.02
-9.83E-04,-0.01,-0.01
-9.83E-04,-0.04,-0.03
-9.82E-04,-0.01,-0.01
-9.82E-04,-0.02,-0.02
-9.82E-04,-0.01,-0.01
-9.81E-04,-0.01,0
-9.81E-04,-0.02,-0.03
-9.80E-04,-0.01,-0.01
-9.80E-04,0,-0.01
-9.80E-04,-0.03,-0.02
-9.79E-04,-0.01,0
-9.79E-04,-0.01,-0.01
-9.78E-04,-0.02,-0.03
-9.78E-04,0,0
-9.78E-04,-0.04,-0.02
-9.77E-04,-0.01,-0.01
-9.77E-04,-0.01,-0.02
-9.76E-04,-0.03,-0.03
-9.76E-04,-0.01,-0.02
-9.76E-04,-0.03,-0.04
-9.75E-04,0,-0.02
-9.75E-04,0,-0.02
-9.74E-04,-0.03,-0.02
-9.74E-04,-0.02,0
-9.74E-04,-0.02,-0.02
-9.73E-04,0,-0.02
-9.73E-04,-0.01,-0.02
-9.72E-04,-0.01,-0.01
-9.72E-04,0,-0.01
-9.72E-04,-0.04,-0.03
-9.71E-04,-0.02,-0.03
-9.71E-04,-0.02,-0.01
-9.70E-04,-0.02,-0.02
-9.70E-04,-0.04,-0.03
-9.70E-04,-0.01,0
-9.69E-04,-0.01,-0.03
-9.69E-04,-0.02,-0.01
-9.68E-04,-0.03,0
-9.68E-04,-0.03,-0.02
-9.68E-04,-0.02,-0.01
-9.67E-04,-0.01,-0.03
-9.67E-04,-0.01,-0.02
-9.66E-04,-0.02,-0.01
-9.66E-04,-0.03,-0.03
-9.66E-04,-0.02,-0.03
-9.65E-04,-0.02,-0.02
-9.65E-04,-0.01,0
-9.64E-04,-0.04,-0.03
-9.64E-04,-0.02,-0.02
-9.64E-04,-0.02,-0.02
-9.63E-04,-0.01,-0.02
-9.63E-04,-0.02,-0.02
-9.62E-04,-0.01,-0.02
-9.62E-04,-0.02,0
-9.62E-04,-0.02,-0.02
-9.61E-04,-0.03,-0.02
-9.61E-04,-0.02,-0.04
-9.60E-04,-0.03,-0.01
-9.60E-04,-0.01,-0.01
-9.60E-04,-0.02,-0.02
-9.59E-04,-0.01,-0.01
-9.59E-04,-0.02,-0.01
-9.58E-04,-0.02,-0.02
-9.58E-04,-0.02,-0.01
-9.58E-04,-0.01,-0.03
-9.57E-04,-0.01,-0.02
-9.57E-04,-0.02,-0.01
-9.56E-04,-0.02,-0.02
-9.56E-04,-0.02,0
-9.56E-04,-0.03,-0.02
-9.55E-04,-0.01,-0.01
-9.55E-04,-0.02,-0.03
-9.54E-04,-0.03,-0.01
-9.54E-04,-0.02,-0.02
-9.54E-04,-0.02,-0.01
-9.53E-04,-0.01,-0.01
-9.53E-04,-0.02,-0.01
-9.52E-04,-0.03,-0.02
-9.52E-04,-0.03,0
-9.52E-04,-0.02,-0.01
-9.51E-04,-0.03,-0.02
-9.51E-04,-0.02,-0.02
-9.50E-04,-0.02,-0.02
-9.50E-04,-0.02,-0.02
-9.50E-04,-0.01,-0.02
-9.49E-04,-0.01,-0.02
-9.49E-04,-0.01,-0.03
-9.48E-04,0,-0.02
-9.48E-04,-0.03,-0.03
-9.48E-04,0,-0.01
-9.47E-04,0,-0.01
-9.47E-04,-0.01,-0.02
-9.46E-04,-0.01,-0.02
-9.46E-04,-0.01,-0.02
-9.46E-04,-0.01,-0.01
-9.45E-04,-0.02,-0.02
-9.45E-04,-0.01,-0.02
-9.44E-04,0,0
-9.44E-04,-0.01,0
-9.44E-04,-0.02,-0.01
-9.43E-04,-0.01,-0.03
-9.43E-04,-0.02,-0.03
-9.42E-04,-0.02,-0.03
-9.42E-04,0,-0.01
-9.42E-04,-0.03,-0.03
-9.41E-04,-0.01,-0.01
-9.41E-04,-0.03,-0.03
-9.40E-04,-0.01,-0.03
-9.40E-04,-0.01,-0.02
-9.40E-04,-0.02,-0.02
-9.39E-04,-0.03,-0.02
-9.39E-04,-0.02,-0.02
-9.38E-04,-0.03,-0.03
-9.38E-04,0,-0.02
-9.38E-04,-0.01,-0.02
-9.37E-04,-0.02,-0.03
-9.37E-04,0,-0.01
-9.36E-04,-0.02,-0.02
-9.36E-04,-0.01,0
-9.36E-04,-0.02,-0.01
-9.35E-04,-0.02,-0.01
-9.35E-04,0.01,-0.01
-9.34E-04,-0.02,-0.01
-9.34E-04,-0.01,-0.02
-9.34E-04,-0.02,-0.01
-9.33E-04,-0.02,-0.02
-9.33E-04,-0.02,-0.03
-9.32E-04,-0.03,-0.03
-9.32E-04,-0.01,0
-9.32E-04,-0.01,-0.02
-9.31E-04,-0.01,-0.01
-9.31E-04,-0.01,0
-9.30E-04,-0.04,-0.03
-9.30E-04,-0.02,-0.02
-9.30E-04,-0.01,0
-9.29E-04,-0.02,-0.04
-9.29E-04,-0.02,-0.03
-9.28E-04,-0.02,-0.01
-9.28E-04,-0.04,-0.01
-9.28E-04,-0.02,-0.03
-9.27E-04,-0.02,-0.02
-9.27E-04,-0.03,-0.01
-9.26E-04,-0.02,-0.02
-9.26E-04,-0.03,-0.03
-9.26E-04,-0.01,-0.01
-9.25E-04,-0.01,-0.02
-9.25E-04,-0.02,0
-9.24E-04,-0.02,-0.02
-9.24E-04,-0.03,-0.02
-9.24E-04,-0.01,-0.02
-9.23E-04,-0.01,-0.01
-9.23E-04,-0.02,-0.03
-9.22E-04,-0.01,-0.01
-9.22E-04,-0.02,-0.04
-9.22E-04,-0.01,-0.02
-9.21E-04,-0.01,-0.02
-9.21E-04,-0.01,-0.02
-9.20E-04,0,-0.01
-9.20E-04,-0.02,-0.03
-9.20E-04,0,-0.01
-9.19E-04,-0.02,-0.03
-9.19E-04,-0.01,-0.01
-9.18E-04,-0.01,-0.01
-9.18E-04,-0.01,-0.01
-9.18E-04,-0.02,-0.02
-9.17E-04,-0.04,-0.02
-9.17E-04,-0.01,-0.03
-9.16E-04,-0.02,-0.02
-9.16E-04,-0.03,0
-9.16E-04,-0.03,-0.03
-9.15E-04,-0.02,-0.02
-9.15E-04,-0.04,-0.04
-9.14E-04,-0.02,-0.03
-9.14E-04,-0.02,-0.02
-9.14E-04,-0.01,-0.03
-9.13E-04,-0.01,-0.01
-9.13E-04,-0.02,-0.02
-9.12E-04,-0.03,-0.01
-9.12E-04,0,-0.02
-9.12E-04,-0.03,0.01
-9.11E-04,-0.01,-0.02
-9.11E-04,0,-0.01
-9.10E-04,-0.01,-0.04
-9.10E-04,0,0
-9.10E-04,-0.02,-0.02
-9.09E-04,0,-0.01
-9.09E-04,-0.01,-0.01
-9.08E-04,-0.01,-0.04
-9.08E-04,-0.01,-0.01
-9.08E-04,-0.01,-0.02
-9.07E-04,-0.03,-0.02
-9.07E-04,-0.02,-0.02
-9.06E-04,-0.03,-0.01
-9.06E-04,0,-0.02
-9.06E-04,-0.02,-0.03
-9.05E-04,-0.02,-0.02
-9.05E-04,-0.03,-0.02
-9.04E-04,-0.02,-0.02
-9.04E-04,-0.02,-0.03
-9.04E-04,-0.01,-0.02
-9.03E-04,-0.01,-0.02
-9.03E-04,-0.02,-0.03
-9.02E-04,0,-0.02
-9.02E-04,-0.02,-0.02
-9.02E-04,-0.01,-0.01
-9.01E-04,-0.02,-0.05
-9.01E-04,-0.02,-0.02
-9.00E-04,0,-0.02
-9.00E-04,-0.01,-0.03
-9.00E-04,-0.03,-0.02
-8.99E-04,-0.01,-0.03
-8.99E-04,-0.01,-0.01
-8.98E-04,-0.01,-0.01
-8.98E-04,-0.03,-0.03
-8.98E-04,-0.01,-0.02
-8.97E-04,-0.01,-0.03
-8.97E-04,-0.01,-0.01
-8.96E-04,-0.02,-0.02
-8.96E-04,0,-0.02
-8.96E-04,0,-0.02
-8.95E-04,-0.02,-0.01
-8.95E-04,-0.02,-0.02
-8.94E-04,-0.01,-0.03
-8.94E-04,-0.03,-0.02
-8.94E-04,-0.01,-0.01
-8.93E-04,-0.01,-0.01
-8.93E-04,-0.02,-0.04
-8.92E-04,-0.02,-0.03
-8.92E-04,-0.03,-0.02
-8.92E-04,-0.02,-0.02
-8.91E-04,-0.02,-0.03
-8.91E-04,-0.04,-0.03
-8.90E-04,-0.03,-0.02
-8.90E-04,-0.02,-0.02
-8.90E-04,-0.02,-0.01
-8.89E-04,-0.03,-0.03
-8.89E-04,0,-0.01
-8.88E-04,-0.03,-0.01
-8.88E-04,-0.01,-0.02
-8.88E-04,-0.01,-0.02
-8.87E-04,-0.02,-0.02
-8.87E-04,-0.02,-0.01
-8.86E-04,-0.01,-0.02
-8.86E-04,-0.02,0
-8.86E-04,-0.02,-0.04
-8.85E-04,-0.02,-0.01
-8.85E-04,0,-0.01
-8.84E-04,-0.02,-0.01
-8.84E-04,-0.01,0
-8.84E-04,-0.01,-0.03
-8.83E-04,-0.02,-0.02
-8.83E-04,0.02,0
-8.82E-04,-0.03,-0.03
-8.82E-04,-0.01,-0.02
-8.82E-04,-0.01,-0.02
-8.81E-04,-0.03,-0.01
-8.81E-04,-0.02,-0.02
-8.80E-04,0,-0.02
-8.80E-04,-0.01,-0.02
